 ,Angle,Length
1,23.297,7.316
2,26.779,9.763
3,27.178,17.031
4,25.450,14.861
5,24.466,17.378
6,25.043,21.903
7,23.875,10.850
8,25.105,20.701
9,28.217,24.597
10,27.231,7.820
11,25.270,7.240
12,26.018,28.552
13,19.544,7.551
14,16.515,9.162
15,18.286,9.379
16,16.524,5.769
